studentNUID,firstNames,lastName,dateOfBirth,email,gender,livingOnCampus,graduationDate,geographySK,hometownStudentSK,numberOfCreditCompleted,numberOfCreditToDegree,Nationality
4116939,Brett,Dawson,1954-01-02,brett.d@northeastern.edu,F,No,2024-07-18,100452,500452,4,28,Togo
6546627,John,Jimenez,1971-10-01,john.j@northeastern.edu,M,No,2024-12-06,100453,500453,12,20,Iraq
3868638,Melissa,Jordan,1959-09-15,melissa.j@northeastern.edu,F,No,2024-11-30,100454,500454,12,20,South Georgia and the South Sandwich Islands
1806632,Jon,Dougherty,1944-11-20,jon.d@northeastern.edu,M,No,2022-09-07,100455,500455,16,16,Brunei Darussalam
6605272,Mary,Butler,1943-04-08,mary.b@northeastern.edu,F,No,2025-04-06,100456,500456,4,28,Faroe Islands
6629356,Todd,Martinez,1977-08-11,todd.m@northeastern.edu,M,No,2024-06-10,100457,500457,4,28,Holy See (Vatican City State)
4736371,Becky,Smith,1966-11-14,becky.s@northeastern.edu,F,No,2022-10-10,100458,500458,12,20,Swaziland
4844418,Malik,Webb,2002-06-19,malik.w@northeastern.edu,M,No,2024-01-19,100459,500459,16,16,Peru
3604089,Monica,Villarreal,1940-04-08,monica.v@northeastern.edu,F,No,2025-08-13,100460,500460,16,16,Monaco
9271972,Shelby,Winters,1909-10-19,shelby.w@northeastern.edu,M,No,2023-05-01,100461,500461,12,20,Ireland
6050108,Scott,Rose,1919-09-04,scott.r@northeastern.edu,F,No,2025-11-26,100462,500462,4,28,Sweden
2021805,Steven,Carter,1930-01-25,steven.c@northeastern.edu,M,No,2022-12-12,100463,500463,8,24,Malawi
8362938,Christine,Morris,1914-10-22,christine.m@northeastern.edu,F,No,2022-05-16,100464,500464,16,16,Serbia
1628223,Laura,Olson,1961-06-09,laura.o@northeastern.edu,M,No,2023-01-09,100465,500465,12,20,Poland
1942186,Andrew,Koch,1975-07-15,andrew.k@northeastern.edu,F,No,2025-09-04,100466,500466,4,28,Armenia
5577592,Tyrone,Bowers,1955-08-01,tyrone.b@northeastern.edu,M,No,2022-01-30,100467,500467,4,28,Somalia
1160205,James,Walton,1919-10-09,james.w@northeastern.edu,F,No,2023-05-17,100468,500468,12,20,Congo
5957831,Victoria,Spencer,1965-02-07,victoria.s@northeastern.edu,M,No,2022-04-11,100469,500469,8,24,Uzbekistan
9200915,Alexander,Short,1977-02-18,alexander.s@northeastern.edu,F,No,2023-11-06,100470,500470,12,20,Singapore
8305939,Sarah,Fox,2004-04-23,sarah.f@northeastern.edu,M,No,2023-08-07,100471,500471,4,28,Canada
7019482,Rhonda,Burch,1960-07-20,rhonda.b@northeastern.edu,F,No,2023-10-23,100472,500472,16,16,Dominican Republic
6187475,Benjamin,Weaver,1956-06-03,benjamin.w@northeastern.edu,M,No,2024-08-17,100473,500473,16,16,Argentina
6441514,Joseph,Fernandez,2016-08-09,joseph.f@northeastern.edu,F,No,2025-08-04,100474,500474,16,16,Italy
7710584,Tyler,Ferguson,1986-12-31,tyler.f@northeastern.edu,M,No,2024-05-09,100475,500475,16,16,Equatorial Guinea
2926399,James,Carson,1997-07-10,james.c@northeastern.edu,F,No,2025-10-27,100476,500476,16,16,Uzbekistan
1970243,Joyce,Long,1944-09-05,joyce.l@northeastern.edu,M,No,2024-12-21,100477,500477,8,24,Croatia
1545445,Sabrina,Miller,1985-04-08,sabrina.m@northeastern.edu,F,No,2025-11-14,100478,500478,16,16,Sudan
3043501,Julie,Ward,2018-11-17,julie.w@northeastern.edu,M,No,2025-06-10,100479,500479,12,20,Portugal
8155306,Steven,Thomas,1998-06-03,steven.t@northeastern.edu,F,No,2025-05-01,100480,500480,12,20,Somalia
6693107,Jasmine,Bradley,1981-05-19,jasmine.b@northeastern.edu,M,No,2022-07-13,100481,500481,16,16,Svalbard & Jan Mayen Islands
3352619,Jason,Walter,2020-08-13,jason.w@northeastern.edu,F,No,2022-05-22,100482,500482,12,20,United States Virgin Islands
2858121,Alec,Marquez,1917-01-26,alec.m@northeastern.edu,M,No,2023-02-01,100483,500483,8,24,Peru
7333386,Janice,Underwood,1991-11-21,janice.u@northeastern.edu,F,No,2023-05-25,100484,500484,8,24,Vietnam
2091534,Michele,Fitzgerald,2001-03-13,michele.f@northeastern.edu,M,No,2025-06-05,100485,500485,16,16,Antarctica (the territory South of 60 deg S)
2969085,James,Greene,1910-02-25,james.g@northeastern.edu,F,No,2022-09-11,100486,500486,4,28,Lithuania
4061463,Jennifer,Gibson,1957-03-08,jennifer.g@northeastern.edu,M,No,2023-06-16,100487,500487,8,24,Palestinian Territory
9178079,Christina,Reeves,1993-06-20,christina.r@northeastern.edu,F,No,2025-02-20,100488,500488,8,24,Kyrgyz Republic
5205395,Walter,Jones,1927-08-03,walter.j@northeastern.edu,M,No,2023-05-07,100489,500489,8,24,Panama
7565113,Scott,Garza,1971-12-30,scott.g@northeastern.edu,F,No,2022-02-17,100490,500490,4,28,Netherlands
7807852,Sherry,Collier,1918-08-02,sherry.c@northeastern.edu,M,No,2024-07-30,100491,500491,16,16,Latvia
8174219,Kimberly,Smith,1970-11-01,kimberly.s@northeastern.edu,F,No,2023-10-03,100492,500492,12,20,El Salvador
9296538,Mary,Rivera,1912-07-27,mary.r@northeastern.edu,M,No,2025-03-11,100493,500493,8,24,Nepal
3992805,Kristen,Trujillo,1949-03-09,kristen.t@northeastern.edu,F,No,2025-08-24,100494,500494,16,16,Saint Vincent and the Grenadines
3649581,Mark,Johns,2010-02-16,mark.j@northeastern.edu,M,No,2022-09-25,100495,500495,12,20,Honduras
4553520,Ryan,Smith,1991-08-26,ryan.s@northeastern.edu,F,No,2024-03-03,100496,500496,16,16,Costa Rica
2169123,Melissa,Nichols,1946-06-07,melissa.n@northeastern.edu,M,No,2025-08-06,100497,500497,8,24,Ecuador
1576446,Brad,Johnson,1917-07-21,brad.j@northeastern.edu,F,No,2023-03-22,100498,500498,8,24,Poland
3126372,Elizabeth,Hines,1921-05-30,elizabeth.h@northeastern.edu,M,No,2024-03-25,100499,500499,4,28,Israel
7422770,Billy,Becker,1941-01-15,billy.b@northeastern.edu,F,No,2025-12-06,100500,500500,16,16,Guernsey
